"Ocupacion","NoPago","TotalMonto","EstadoContrato","Producto","FechaInicioC","FechaAdjudicación","FechaUltimoPago","FechaProyectadaFin","MontoVencido","Mensualidad","Ingresos","Legal","EdadActual","AZULEstatus","AdjudicaReal","PagosPuntuales","CostoAdmin","Genero","PersonaTipo","dtEstadoContrato","GrupoOrigenVenta","SemanasAdjud","Pagos9","Domicilia_Pago","Email","timetotV"
111,60,564026,1,0,20150717,20161118,20210609,20200717,0,9400,45333,1,47,0,0,60,33309,0,0,1,0,70,9,0,1,60
50,48,244874,5,0,20150220,20151120,20190130,20200220,24486,4081,24843,0,38,0,1,42,23515,1,0,2,0,39,9,1,1,53
97,40,226400,1,0,20150417,20151016,20180623,20200417,22638,3773,12746,0,31,1,2,34,19835,0,0,1,3,26,8,1,1,45
97,48,499999,1,0,20150320,20150717,20190201,20200320,16666,8333,37138,1,75,1,2,46,23434,0,1,1,3,17,8,1,1,49
45,60,287333,1,0,20151218,20160415,20220513,20201218,4788,4788,24699,1,33,1,2,59,27826,1,0,1,0,17,9,0,1,61
45,49,289732,6,0,20150619,20150619,20220518,20200619,9656,4828,31321,1,47,1,2,47,23716,1,0,2,3,0,9,1,1,50
125,59,274923,4,0,20150717,20160923,20200722,20200717,9164,4582,23487,1,26,0,0,57,28742,0,0,2,3,62,7,0,1,60
45,49,523180,1,0,20150220,20150515,20190102,20200220,8719,8719,37195,1,50,1,2,48,24041,0,0,1,3,12,8,1,1,50
104,34,274504,1,0,20151218,20151218,20180903,20201218,18300,4575,21965,0,47,1,2,30,16499,0,0,1,3,0,8,0,1,37
97,22,164190,6,0,20150515,20150619,20170109,20200515,13680,2736,11552,0,63,1,2,17,11282,0,1,2,0,5,8,1,0,25
47,60,240550,1,0,20150320,20150821,20200201,20200320,8018,4009,27179,1,35,1,2,58,28693,1,0,1,0,22,9,0,1,62
5,60,267613,0,0,20150619,20160617,20210615,20200619,4460,4460,23796,1,30,0,0,59,34361,0,0,0,0,52,6,1,1,61
126,40,203075,1,0,20150515,20160115,20180831,20200515,23688,3384,22548,0,34,1,2,33,19703,1,0,1,3,35,9,0,1,46
53,59,391873,1,0,20160219,20160923,20211208,20210219,13062,6531,35568,1,48,1,2,57,32060,0,0,1,3,31,8,0,1,60
58,47,198503,6,0,20150918,20150918,20200930,20200918,23156,3308,16421,0,43,1,2,40,28542,1,0,2,0,0,6,0,1,53
58,15,184114,6,0,20150220,20150417,20160401,20200220,30680,3068,14133,0,43,0,2,5,7786,0,0,2,3,8,7,0,1,16
58,56,336825,5,0,20150619,20151016,20200116,20200619,44904,5613,29297,0,30,0,1,48,26692,0,0,2,0,17,6,0,1,62
35,9,108721,5,0,20151120,20151120,20160722,20201120,14496,2000,9454,0,30,1,2,1,4610,1,0,2,0,0,6,0,1,11
3,56,255923,0,0,20150619,20160415,20191219,20200619,25590,4265,16739,0,27,0,0,50,26788,0,0,0,3,43,8,0,1,62
69,60,400776,0,0,20150619,20160415,20201113,20200619,0,6679,29166,1,69,0,0,60,31484,1,1,0,1,43,8,0,1,60
