"FechaUltimoPago","CostoAdmin","FechaAdjudicación","FechaInicioC","FechaProyectadaFin","MontoVencido","Ingresos","TotalMonto","SemanasAdjud","EdadActual","Mensualidad","Ocupacion","Y"
20220531,12356,20201016,20191220,20241220,0,14834,244080,43,41,4068,58,1
20180813,16045,20160219,20160115,20210115,35658,23069,305655,5,41,5094,50,0
20200630,23154,20161216,20160520,20210520,27088,35707,406343,30,44,6772,97,0
20220601,17290,20190215,20181116,20231116,9640,33253,289258,13,42,4820,58,1
20220603,14561,20190920,20190621,20240621,6316,24756,378976,13,49,6316,50,1
20220602,22724,20181019,20171215,20221215,0,37558,329335,44,69,5488,69,1
20220602,10630,20201218,20200320,20250320,6716,15110,201493,39,30,3358,97,1
20210202,29074,20161118,20160115,20210115,31927,20506,273718,44,40,4561,50,0
20210721,18282,20190118,20180316,20230316,33448,20979,250886,44,41,4181,50,0
20181101,7400,20180720,20170915,20220915,12040,8431,90302,44,24,2000,5,0
